"scenario_id","user_id","roleplay_profile","input","motion_preference","scenario","state_path","user_need","current_risk","baseline_gate","iteration_1_gate","target_behavior","reduced_motion_behavior","interrupt_probe","acceptance_gate","target_gate"
"S001","U001","First-day evaluator; top-level navigator; unfamiliar labels and no learned spatial map","mouse","standard","Dashboard to Work pane — unfamiliar labels and no learned spatial map","root.dashboard.ready -> selectPane(work) -> root.work.list.ready","clear cause-and-effect without surprise; top-level navigator","The 140 ms pane fade and 70 ms press flash can feel like one abrupt replacement; selection and content must stay synchronized.","PASS","PASS","Acknowledge the tab immediately; keep the top bar fixed; move the selection capsule with the existing 220 ms zero-bounce spring and crossfade peer-pane content in 180 ms ease-out.","Keep a 120 ms opacity dissolve and the static selected appearance; remove matched-geometry travel.","Activate Usage before Work settles; the latest pane wins immediately with no animation queue.","Top bar never moves; exactly one pane is interactive; final selected tab and visible pane agree; completion is at most 220 ms. Persona-specific gate: clear cause-and-effect without surprise.","PASS"
"S002","U002","Everyday developer; top-level navigator; repeats the workflow many times per day","trackpad","standard","Dashboard to Work pane — repeats the workflow many times per day","root.dashboard.ready -> selectPane(work) -> root.work.list.ready","speed with no decorative delay; top-level navigator","The 140 ms pane fade and 70 ms press flash can feel like one abrupt replacement; selection and content must stay synchronized.","PASS","PASS","Acknowledge the tab immediately; keep the top bar fixed; move the selection capsule with the existing 220 ms zero-bounce spring and crossfade peer-pane content in 180 ms ease-out.","Keep a 120 ms opacity dissolve and the static selected appearance; remove matched-geometry travel.","Activate Usage before Work settles; the latest pane wins immediately with no animation queue.","Top bar never moves; exactly one pane is interactive; final selected tab and visible pane agree; completion is at most 220 ms. Persona-specific gate: speed with no decorative delay.","PASS"
"S003","U003","Keyboard-first expert; top-level navigator; tabs and activates without hovering","keyboard","standard","Dashboard to Work pane — tabs and activates without hovering","root.dashboard.ready -> selectPane(work) -> root.work.list.ready","focus and selection feedback independent of pointer hover; top-level navigator","The 140 ms pane fade and 70 ms press flash can feel like one abrupt replacement; selection and content must stay synchronized.","PASS","PASS","Acknowledge the tab immediately; keep the top bar fixed; move the selection capsule with the existing 220 ms zero-bounce spring and crossfade peer-pane content in 180 ms ease-out.","Keep a 120 ms opacity dissolve and the static selected appearance; remove matched-geometry travel.","Activate Usage before Work settles; the latest pane wins immediately with no animation queue.","Top bar never moves; exactly one pane is interactive; final selected tab and visible pane agree; completion is at most 220 ms. Persona-specific gate: focus and selection feedback independent of pointer hover.","PASS"
"S004","U004","Trackpad power user; top-level navigator; moves quickly between dense targets","trackpad","standard","Dashboard to Work pane — moves quickly between dense targets","root.dashboard.ready -> selectPane(work) -> root.work.list.ready","immediate, interruptible response; top-level navigator","The 140 ms pane fade and 70 ms press flash can feel like one abrupt replacement; selection and content must stay synchronized.","PASS","PASS","Acknowledge the tab immediately; keep the top bar fixed; move the selection capsule with the existing 220 ms zero-bounce spring and crossfade peer-pane content in 180 ms ease-out.","Keep a 120 ms opacity dissolve and the static selected appearance; remove matched-geometry travel.","Activate Usage before Work settles; the latest pane wins immediately with no animation queue.","Top bar never moves; exactly one pane is interactive; final selected tab and visible pane agree; completion is at most 220 ms. Persona-specific gate: immediate, interruptible response.","PASS"
"S005","U005","Precision-mouse user; top-level navigator; expects desktop-native restraint","mouse","standard","Dashboard to Work pane — expects desktop-native restraint","root.dashboard.ready -> selectPane(work) -> root.work.list.ready","subtle highlight feedback rather than touch-like theatrics; top-level navigator","The 140 ms pane fade and 70 ms press flash can feel like one abrupt replacement; selection and content must stay synchronized.","PASS","PASS","Acknowledge the tab immediately; keep the top bar fixed; move the selection capsule with the existing 220 ms zero-bounce spring and crossfade peer-pane content in 180 ms ease-out.","Keep a 120 ms opacity dissolve and the static selected appearance; remove matched-geometry travel.","Activate Usage before Work settles; the latest pane wins immediately with no animation queue.","Top bar never moves; exactly one pane is interactive; final selected tab and visible pane agree; completion is at most 220 ms. Persona-specific gate: subtle highlight feedback rather than touch-like theatrics.","PASS"
"S006","U006","Motion-sensitive user; top-level navigator; macOS Reduce Motion enabled","mouse","reduce","Dashboard to Work pane — macOS Reduce Motion enabled","root.dashboard.ready -> selectPane(work) -> root.work.list.ready","no spatial travel, bounce, scaling, or auto-scroll; keep semantic fades; top-level navigator","The 140 ms pane fade and 70 ms press flash can feel like one abrupt replacement; selection and content must stay synchronized.","RISK","PASS","Acknowledge the tab immediately; keep the top bar fixed; move the selection capsule with the existing 220 ms zero-bounce spring and crossfade peer-pane content in 180 ms ease-out.","Keep a 120 ms opacity dissolve and the static selected appearance; remove matched-geometry travel.","Activate Usage before Work settles; the latest pane wins immediately with no animation queue.","Top bar never moves; exactly one pane is interactive; final selected tab and visible pane agree; completion is at most 220 ms. Persona-specific gate: no spatial travel, bounce, scaling, or auto-scroll; keep semantic fades.","PASS"
"S007","U007","VoiceOver reviewer; top-level navigator; navigates by accessible names and focus order","keyboard+VoiceOver","standard","Dashboard to Work pane — navigates by accessible names and focus order","root.dashboard.ready -> selectPane(work) -> root.work.list.ready","announced state and stable focus, not motion-only meaning; top-level navigator","The 140 ms pane fade and 70 ms press flash can feel like one abrupt replacement; selection and content must stay synchronized.","PASS","PASS","Acknowledge the tab immediately; keep the top bar fixed; move the selection capsule with the existing 220 ms zero-bounce spring and crossfade peer-pane content in 180 ms ease-out.","Keep a 120 ms opacity dissolve and the static selected appearance; remove matched-geometry travel.","Activate Usage before Work settles; the latest pane wins immediately with no animation queue.","Top bar never moves; exactly one pane is interactive; final selected tab and visible pane agree; completion is at most 220 ms. Persona-specific gate: announced state and stable focus, not motion-only meaning.","PASS"
"S008","U008","High-contrast user; top-level navigator; Increase Contrast and Differentiate Without Color","mouse","standard","Dashboard to Work pane — Increase Contrast and Differentiate Without Color","root.dashboard.ready -> selectPane(work) -> root.work.list.ready","shape, text, or focus state in addition to color; top-level navigator","The 140 ms pane fade and 70 ms press flash can feel like one abrupt replacement; selection and content must stay synchronized.","PASS","PASS","Acknowledge the tab immediately; keep the top bar fixed; move the selection capsule with the existing 220 ms zero-bounce spring and crossfade peer-pane content in 180 ms ease-out.","Keep a 120 ms opacity dissolve and the static selected appearance; remove matched-geometry travel.","Activate Usage before Work settles; the latest pane wins immediately with no animation queue.","Top bar never moves; exactly one pane is interactive; final selected tab and visible pane agree; completion is at most 220 ms. Persona-specific gate: shape, text, or focus state in addition to color.","PASS"
"S009","U009","Low-vision reviewer; top-level navigator; large text and display zoom","mouse","standard","Dashboard to Work pane — large text and display zoom","root.dashboard.ready -> selectPane(work) -> root.work.list.ready","stable geometry and no clipped transition endpoints; top-level navigator","The 140 ms pane fade and 70 ms press flash can feel like one abrupt replacement; selection and content must stay synchronized.","RISK","PASS","Acknowledge the tab immediately; keep the top bar fixed; move the selection capsule with the existing 220 ms zero-bounce spring and crossfade peer-pane content in 180 ms ease-out.","Keep a 120 ms opacity dissolve and the static selected appearance; remove matched-geometry travel.","Activate Usage before Work settles; the latest pane wins immediately with no animation queue.","Top bar never moves; exactly one pane is interactive; final selected tab and visible pane agree; completion is at most 220 ms. Persona-specific gate: stable geometry and no clipped transition endpoints.","PASS"
"S010","U010","Limited-dexterity user; top-level navigator; slow pointer and occasional repeated activation","mouse","standard","Dashboard to Work pane — slow pointer and occasional repeated activation","root.dashboard.ready -> selectPane(work) -> root.work.list.ready","comfortable hit targets and forgiving repeat input; top-level navigator","The 140 ms pane fade and 70 ms press flash can feel like one abrupt replacement; selection and content must stay synchronized.","PASS","PASS","Acknowledge the tab immediately; keep the top bar fixed; move the selection capsule with the existing 220 ms zero-bounce spring and crossfade peer-pane content in 180 ms ease-out.","Keep a 120 ms opacity dissolve and the static selected appearance; remove matched-geometry travel.","Activate Usage before Work settles; the latest pane wins immediately with no animation queue.","Top bar never moves; exactly one pane is interactive; final selected tab and visible pane agree; completion is at most 220 ms. Persona-specific gate: comfortable hit targets and forgiving repeat input.","PASS"
"S011","U011","Rapid-switching expert; top-level navigator; issues a second action before the first animation settles","keyboard+mouse","standard","Dashboard to Work pane — issues a second action before the first animation settles","root.dashboard.ready -> selectPane(work) -> root.work.list.ready","retargeting with no queued or stale destination; top-level navigator","The 140 ms pane fade and 70 ms press flash can feel like one abrupt replacement; selection and content must stay synchronized.","RISK","PASS","Acknowledge the tab immediately; keep the top bar fixed; move the selection capsule with the existing 220 ms zero-bounce spring and crossfade peer-pane content in 180 ms ease-out.","Keep a 120 ms opacity dissolve and the static selected appearance; remove matched-geometry travel.","Activate Usage before Work settles; the latest pane wins immediately with no animation queue.","Top bar never moves; exactly one pane is interactive; final selected tab and visible pane agree; completion is at most 220 ms. Persona-specific gate: retargeting with no queued or stale destination.","PASS"
"S012","U012","Constrained-Mac user; top-level navigator; fetch and rendering take about 800 ms","trackpad","standard","Dashboard to Work pane — fetch and rendering take about 800 ms","root.dashboard.ready -> selectPane(work) -> root.work.list.ready","stable placeholders and no flicker or frozen-looking blank area; top-level navigator","The 140 ms pane fade and 70 ms press flash can feel like one abrupt replacement; selection and content must stay synchronized.","PASS","PASS","Acknowledge the tab immediately; keep the top bar fixed; move the selection capsule with the existing 220 ms zero-bounce spring and crossfade peer-pane content in 180 ms ease-out.","Keep a 120 ms opacity dissolve and the static selected appearance; remove matched-geometry travel.","Activate Usage before Work settles; the latest pane wins immediately with no animation queue.","Top bar never moves; exactly one pane is interactive; final selected tab and visible pane agree; completion is at most 220 ms. Persona-specific gate: stable placeholders and no flicker or frozen-looking blank area.","PASS"
